"Index","OriginalUrl","CloneUrl","Directory"
"74","https://github.com/ascend-124/s5","https://github.com/ascend-124/s5.git","R074_github_ascend-124_s5"
"75","https://github.com/ascend-124/s6","https://github.com/ascend-124/s6.git","R075_github_ascend-124_s6"
"76","https://github.com/asfsdsf/AscendC-S6","https://github.com/asfsdsf/AscendC-S6.git","R076_github_asfsdsf_AscendC-S6"
"77","https://github.com/Brown-Bert/S4.git","https://github.com/Brown-Bert/S4.git","R077_github_Brown-Bert_S4"
"78","https://github.com/Brown-Bert/S5","https://github.com/Brown-Bert/S5.git","R078_github_Brown-Bert_S5"
"79","https://github.com/bubu-12/Ascendc-S4","https://github.com/bubu-12/Ascendc-S4.git","R079_github_bubu-12_Ascendc-S4"
"80","https://github.com/bubu-12/Ascendc-S5","https://github.com/bubu-12/Ascendc-S5.git","R080_github_bubu-12_Ascendc-S5"
"81","https://github.com/Cishoon/AscendC-S4-Basic","https://github.com/Cishoon/AscendC-S4-Basic.git","R081_github_Cishoon_AscendC-S4-Basic"
"82","https://github.com/clamee/-AI---","https://github.com/clamee/-AI---.git","R082_github_clamee_-AI---"
"83","https://github.com/clamee/s6-Hypot","https://github.com/clamee/s6-Hypot.git","R083_github_clamee_s6-Hypot"
"84","https://github.com/DanceToBurning/Ascend-S6-/tree/main","https://github.com/DanceToBurning/Ascend-S6-.git","R084_github_DanceToBurning_Ascend-S6-"
"85","https://github.com/halfstark/ascend-s5","https://github.com/halfstark/ascend-s5.git","R085_github_halfstark_ascend-s5"
"86","https://github.com/JackSimbol02/CANN-Comp","https://github.com/JackSimbol02/CANN-Comp.git","R086_github_JackSimbol02_CANN-Comp"
"87","https://github.com/KaranocaVe/AscendC-S6","https://github.com/KaranocaVe/AscendC-S6.git","R087_github_KaranocaVe_AscendC-S6"
"88","https://github.com/kgcyyds/S4.git","https://github.com/kgcyyds/S4.git","R088_github_kgcyyds_S4"
"89","https://github.com/kgcyyds/S5_HustAga.git","https://github.com/kgcyyds/S5_HustAga.git","R089_github_kgcyyds_S5_HustAga"
"90","https://github.com/kgcyyds/S6.git","https://github.com/kgcyyds/S6.git","R090_github_kgcyyds_S6"
"91","https://github.com/linnlh/ascendc-2024-final","https://github.com/linnlh/ascendc-2024-final.git","R091_github_linnlh_ascendc-2024-final"
"92","https://github.com/meaningfuI/Ascend-S5","https://github.com/meaningfuI/Ascend-S5.git","R092_github_meaningfuI_Ascend-S5"
"93","https://github.com/MiracleDrawer/Ascend_S4","https://github.com/MiracleDrawer/Ascend_S4.git","R093_github_MiracleDrawer_Ascend_S4"
"94","https://github.com/Qeeweew/AscendC-2025-5-23","https://github.com/Qeeweew/AscendC-2025-5-23.git","R094_github_Qeeweew_AscendC-2025-5-23"
"95","https://github.com/Qeeweew/AscendC-S4","https://github.com/Qeeweew/AscendC-S4.git","R095_github_Qeeweew_AscendC-S4"
"96","https://github.com/Qeeweew/AscendC-S5-GluJvp","https://github.com/Qeeweew/AscendC-S5-GluJvp.git","R096_github_Qeeweew_AscendC-S5-GluJvp"
"97","https://github.com/Qeeweew/AscendC-S6-Logcumsumexp","https://github.com/Qeeweew/AscendC-S6-Logcumsumexp.git","R097_github_Qeeweew_AscendC-S6-Logcumsumexp"
"98","https://github.com/Rotaeno/Pows","https://github.com/Rotaeno/Pows.git","R098_github_Rotaeno_Pows"
"99","https://github.com/rura-t/AscendOps","https://github.com/rura-t/AscendOps.git","R099_github_rura-t_AscendOps"
"100","https://github.com/ShwStone/Ascend-S5","https://github.com/ShwStone/Ascend-S5.git","R100_github_ShwStone_Ascend-S5"
"101","https://github.com/sunkafei/ascend-operator-challenge-final","https://github.com/sunkafei/ascend-operator-challenge-final.git","R101_github_sunkafei_ascend-operator-challenge-final"
"102","https://github.com/T1z1anXXX/champion2024-ascend-oprator","https://github.com/T1z1anXXX/champion2024-ascend-oprator.git","R102_github_T1z1anXXX_champion2024-ascend-oprator"
"103","https://github.com/tangyhang/ascend--challenge-2024","https://github.com/tangyhang/ascend--challenge-2024.git","R103_github_tangyhang_ascend--challenge-2024"
"104","https://github.com/ustc1587/ReduceLogSumExp","https://github.com/ustc1587/ReduceLogSumExp.git","R104_github_ustc1587_ReduceLogSumExp"
"105","https://github.com/wilburx813/ascend_s4","https://github.com/wilburx813/ascend_s4.git","R105_github_wilburx813_ascend_s4"
"106","https://github.com/winfan1314/AscendC-ops-24Final-Tangefly.git","https://github.com/winfan1314/AscendC-ops-24Final-Tangefly.git","R106_github_winfan1314_AscendC-ops-24Final-Tangefly"
"107","https://github.com/winfan1314/AscendC-S4-Base.git","https://github.com/winfan1314/AscendC-S4-Base.git","R107_github_winfan1314_AscendC-S4-Base"
"108","https://github.com/wybxw/Ascend_ops_Base_S6","https://github.com/wybxw/Ascend_ops_Base_S6.git","R108_github_wybxw_Ascend_ops_Base_S6"
"109","https://github.com/wybxw/Ascend_ops_Performance_S6","https://github.com/wybxw/Ascend_ops_Performance_S6.git","R109_github_wybxw_Ascend_ops_Performance_S6"
"110","https://github.com/XKevin63/ascendC-S4-Base","https://github.com/XKevin63/ascendC-S4-Base.git","R110_github_XKevin63_ascendC-S4-Base"
"111","https://github.com/xxxkkw/Ascend-AI-Innovation-Operator-Challenge-S4-Season","https://github.com/xxxkkw/Ascend-AI-Innovation-Operator-Challenge-S4-Season.git","R111_github_xxxkkw_Ascend-AI-Innovation-Operator-Challenge-S4-Season"
"112","https://github.com/yuntaoyulong/-S5-/","https://github.com/yuntaoyulong/-S5-.git","R112_github_yuntaoyulong_-S5-"
"113","https://github.com/zzh-stable/ascend-s5","https://github.com/zzh-stable/ascend-s5.git","R113_github_zzh-stable_ascend-s5"
