"Index","CloneUrl","LocalDirectory","Branch","Head","CommitDate","READMEFirstLine","TopLevelEntries","OperatorHints","IndexedFiles","CodeFiles","CodeBytes","DataCopy","DataCopyPad","DataCopyExtParams","TPipe","TQue","TBuf","PipeBarrier","SetAtomicAdd","SetVectorMask","WholeReduceSum","ReduceSum","Compare","Select","Gather","Scatter","Transpose","Cast","Matmul","Tiling","Template","BufferNum","BlockIndex","Alignment"
"94","https://github.com/Qeeweew/AscendC-2025-5-23.git","R094_github_Qeeweew_AscendC-2025-5-23","main","0e692451bb7a21a825aa948606eb646e9894786d","2025/5/30 18:21:25","华为昇腾NPU的GCD算子优化","op_host | op_kernel | .gitignore | custom_opp_euleros_aarch64.run | gcd_iterations_distribution_and_cdf.png | README.md | sim.py","","7","3","15060","6","3","3","2","2","1","0","0","0","0","0","0","8","0","0","0","0","0","3","3","0","2","0"
"95","https://github.com/Qeeweew/AscendC-S4.git","R095_github_Qeeweew_AscendC-S4","master","9d004068fd31f5282112dc224e3dd48a2417db64","2025/5/30 18:00:52","昇腾AI创新算子挑战赛S4赛季 - 复数矩阵乘法实现","cmake | framework | op_host | op_kernel | scripts | .gitignore | build.sh | CMakeLists.txt | CMakePresets.json | matmul.json | README.md","","29","4","20031","4","4","4","2","2","1","0","0","0","0","0","0","0","3","0","0","0","8","10","2","0","4","7"
"96","https://github.com/Qeeweew/AscendC-S5-GluJvp.git","R096_github_Qeeweew_AscendC-S5-GluJvp","main","e4078a0792498085b893179ce5c4595b62f74813","2025/9/14 15:56:15","System.Object[]","op_host | op_kernel | .gitignore | custom_opp_euleros_aarch64.run | README.md","","6","3","19289","0","3","2","3","8","3","0","0","0","0","0","0","0","0","0","0","5","0","3","8","8","2","0"
"97","https://github.com/Qeeweew/AscendC-S6-Logcumsumexp.git","R097_github_Qeeweew_AscendC-S6-Logcumsumexp","main","e28217e7f31933659b71eab60e3fff9c704713ff","2025/11/19 10:57:21","AscendC-S6-Logcumsumexp","op_host | op_kernel | .gitignore | custom_opp_euleros_aarch64.run | README.md","","10","6","40104","8","8","8","4","8","4","0","0","0","0","0","0","0","0","0","0","8","0","6","4","18","4","0"
"98","https://github.com/Rotaeno/Pows.git","R098_github_Rotaeno_Pows","main","8817c8d6ecb89f4928bbf9751454f8e00e88286a","2025/5/30 18:38:56","Pows","PowsCustom.zip | README.md","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","https://github.com/rura-t/AscendOps.git","R099_github_rura-t_AscendOps","main","d7b2b3e4465797c1e5a1d655c7b3d100a0061036","2025/6/15 18:13:00","AscendOps","Trunc | README.md","Trunc","6","3","9558","2","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","9","0","3","1","5","0","1"
"100","https://github.com/ShwStone/Ascend-S5.git","R100_github_ShwStone_Ascend-S5","main","ad64217e66377796783f3e1b7fe8ddbcb62b9a51","2025/8/12 16:54:47","XJTU-宇宙不怎么闪烁","BitwiseLeftShift | Copysign | images | .gitignore | BitwiseLeftShift.json | Copysign.json | create.sh | LICENSE | README.md","BitwiseLeftShift | Copysign","67","8","64076","17","6","4","8","16","7","0","0","0","0","0","0","10","0","0","0","2","0","6","11","22","8","0"
"101","https://github.com/sunkafei/ascend-operator-challenge-final.git","R101_github_sunkafei_ascend-operator-challenge-final","main","009cc71c449449826d0d261f2bed28d712f15261","2025/5/23 21:38:11","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)",".vscode | Case | Gcd | .gitignore | Gcd.json | init_pybind.sh | LICENSE | zip_op.sh","Gcd","35","6","36373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","15","0","2","3"
"102","https://github.com/T1z1anXXX/champion2024-ascend-oprator.git","R102_github_T1z1anXXX_champion2024-ascend-oprator","main","477aebdf1c75cb236907c36ed12d04f05f6044cf","2025/6/11 21:25:53","Result:","LinSpace | Trunc | README.md","LinSpace | Trunc","11","6","24460","11","0","0","2","4","2","0","0","0","0","0","0","0","0","0","0","13","0","6","2","11","4","0"
"103","https://github.com/tangyhang/ascend--challenge-2024.git","R103_github_tangyhang_ascend--challenge-2024","main","fe017e4d7c1cea2d54f3707ee0e6bc9edbf09a04","2025/6/12 18:27:42","","Gcd","Gcd","5","3","11328","0","3","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","2","0"
"104","https://github.com/ustc1587/ReduceLogSumExp.git","R104_github_ustc1587_ReduceLogSumExp","main","23f22897805d16d7271585a015c1a6de2ed1f2af","2025/8/22 9:10:11","ReduceLogSumExp","op_host | op_kernel | custom_opp_ubuntu_aarch64.run | README.md","","6","3","35505","33","0","0","1","6","1","0","0","0","0","3","0","0","0","0","0","8","0","3","0","13","0","0"
"106","https://github.com/winfan1314/AscendC-ops-24Final-Tangefly.git","R106_github_winfan1314_AscendC-ops-24Final-Tangefly","main","e1ca8f4d9efe345beaf817b2535d8ee7e88d1f91","2025/6/15 17:23:08","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","base_case | docs | LinSpace | Trunc | .gitignore","LinSpace | Trunc","74","18","132981","8","0","0","8","6","4","0","0","0","0","0","0","0","0","0","0","24","0","13","79","3","0","4"
"107","https://github.com/winfan1314/AscendC-S4-Base.git","R107_github_winfan1314_AscendC-S4-Base","main","5587be977688a3bbb74f574ffacd18a85ee4f06b","2025/5/30 11:27:01","[![License: GPL v2](https://img.shields.io/badge/License-GPL%20v2-blue.svg)](https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html)","Gather_submit | metadata | Pows_submit | Reshape_submit | RmsNorm | SelectV2_submit | .gitignore","Gather_submit | Pows_submit | Reshape_submit | RmsNorm | SelectV2_submit","149","28","160437","40","0","0","21","18","8","0","0","0","0","6","0","3","2","0","0","64","0","59","35","97","0","0"
"108","https://github.com/wybxw/Ascend_ops_Base_S6.git","R108_github_wybxw_Ascend_ops_Base_S6","master","d5e06fa213468ad4f61f1151d37668f3fc5b9ce9","2025/11/13 11:04:52","> 赛时代码由于方便Debug,可能删除/注释了一部分测试数据中没有的数据类型的算子执行路径,一般主要是int64这种.并非没有实现,但可能需要稍微修改代码.","Argmin | Expand | LICENSE | README.md","Argmin | Expand","13","6","39992","5","2","3","6","3","5","0","0","0","0","0","1","2","0","0","0","3","0","12","22","4","2","3"
"109","https://github.com/wybxw/Ascend_ops_Performance_S6.git","R109_github_wybxw_Ascend_ops_Performance_S6","main","6e9b98a3636e7e779896330cca21f6392fd886a0","2025/11/13 11:05:42","> 赛时代码由于方便Debug,可能删除/注释了一部分测试数据中没有的数据类型的算子执行路径,一般主要是int64这种.并非没有实现,但可能需要稍微修改代码.","Hypotlast | LICENSE | README.md","Hypot","7","3","31778","5","5","5","5","1","1","0","0","0","0","0","0","0","0","0","0","3","0","17","13","9","4","0"
"110","https://github.com/XKevin63/ascendC-S4-Base.git","R110_github_XKevin63_ascendC-S4-Base","main","acc93377e98c370638175a0aa6deadb29c7c3d68","2026/3/23 15:44:06","ascendC-S4-Base","pows | Selectv2 | README.md","pows | Selectv2","11","6","48906","7","0","0","3","7","5","0","0","0","0","0","1","4","0","0","0","16","0","6","4","16","1","0"
"111","https://github.com/xxxkkw/Ascend-AI-Innovation-Operator-Challenge-S4-Season.git","R111_github_xxxkkw_Ascend-AI-Innovation-Operator-Challenge-S4-Season","main","204598ce5898a09dcc35f7f9801a27bf4eb1d518","2025/6/2 19:51:21","昇腾AI创新算子挑战赛（S4赛季）【基础性能命题】","Pows | Reshape | RmsNorm | SelectV2 | .DS_Store | README.md","Pows | Reshape | RmsNorm | SelectV2","23","14","75299","15","0","0","14","13","28","0","0","0","0","0","2","6","0","0","0","24","0","12","0","35","0","0"
"112","https://github.com/yuntaoyulong/-S5-.git","R112_github_yuntaoyulong_-S5-","main","c42d2b46a44737a669cc2a3368046952e7192633","2025/12/5 18:21:06","参与贡献：","Fresnel_Cos | GatherV3 | README.md","Fresnel_Cos | GatherV3","13","8","60912","5","0","0","5","2","10","0","0","0","0","0","10","10","10","0","0","8","0","8","6","5","2","0"
"113","https://github.com/zzh-stable/ascend-s5.git","R113_github_zzh-stable_ascend-s5","main","329c78b169bf8b4e1612abddf89b7151a2ffda27","2025/9/8 16:58:14","Ascend-S5","Copysign | Lcm | README.md","Copysign | Lcm","23","18","80938","0","28","20","22","20","12","0","0","0","0","0","0","2","0","0","0","5","0","14","13","46","10","0"
